Success,Time,Radius,Dataset
True,72,0.017,TD3
True,27,0.017,TD3
True,111,0.017,TD3
True,58,0.017,TD3
True,80,0.017,TD3
True,35,0.017,TD3
True,41,0.017,TD3
True,50,0.017,TD3
True,44,0.017,TD3
True,55,0.017,TD3
True,92,0.017,TD3
True,39,0.017,TD3
False,500,0.017,TD3
True,39,0.017,TD3
True,87,0.017,TD3
True,76,0.017,TD3
True,75,0.017,TD3
True,44,0.017,TD3
True,23,0.017,TD3
True,38,0.017,TD3
True,44,0.017,TD3
True,61,0.017,TD3
True,107,0.017,TD3
True,33,0.017,TD3
True,31,0.017,TD3
True,69,0.017,TD3
True,52,0.017,TD3
True,56,0.017,TD3
True,24,0.017,TD3
True,69,0.017,TD3
True,62,0.017,TD3
True,23,0.017,TD3
True,78,0.017,TD3
True,68,0.017,TD3
True,20,0.017,TD3
True,107,0.017,TD3
True,72,0.017,TD3
True,36,0.017,TD3
True,79,0.017,TD3
True,70,0.017,TD3
True,45,0.017,TD3
True,103,0.017,TD3
True,30,0.017,TD3
True,50,0.017,TD3
True,67,0.017,TD3
True,66,0.017,TD3
True,66,0.017,TD3
True,69,0.017,TD3
True,32,0.017,TD3
True,55,0.017,TD3
True,56,0.017,TD3
True,43,0.017,TD3
True,62,0.017,TD3
True,66,0.017,TD3
True,100,0.017,TD3
True,81,0.017,TD3
True,52,0.017,TD3
True,89,0.017,TD3
True,70,0.017,TD3
True,20,0.017,TD3
True,31,0.017,TD3
True,52,0.017,TD3
True,32,0.017,TD3
